ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung;Emotion;Reduction;Modifikator;Negation;Kodierer;Problem
8222;6;Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
8222;7;weil er Geburtstag hat;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
8222;8;weil seine Hosse offen ist;er macht sich sorgen, dass jemand das gesehen hat;;;;;;Sorgen;besorgt;;;E.T.;
8222;9;den Igel;sauer;;;;;;sauer;sauer;;;E.T.;
8222;10;das Auto;sauer;;;;;;sauer;sauer;;;E.T.;
2586;1;Monsterfilm;Angst;;;;;;Angst;ängstlich;;;E.T.;
2586;2;Laster drübergefahren;traurig;;;;;;traurig;traurig;;;E.T.;
2586;3;Mutter räumt Schoko in Schrank;kann man nicht sagen;;;;;;99;99;;;BS;3.0
2586;4;will nicht mehr spielen;traurig;;;;;;traurig;traurig;;;E.T.;
2586;5;bei Mutter;gut;;;;;;gut;positiv;;;E.T.;
2586;6;Schimmel ;traurig, weil sie Kuchen nicht essen kann;;;;;;traurig;traurig;;;E.T.;
2586;7;Geburtstag;freut sich;;;;;;freut sich;Freude;;;BS;2.0
2586;8;weil ihre Hose offen ist;fühlt sich nicht schön & peinlich;;;;;;peinlich;peinlich;;;BS;2.0
2586;9;Igel;ich weiß nicht;;;;;;99;99;;;BS;3.0
2586;10;Spielzeugauto;blöd;;;;;;blöd;negativ;;;E.T.;
2613;1;Mit Monstern;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
2613;2;kaputt;sehr traurig;;;;;;sehr traurig;traurig;sehr;;E.T.;
2613;3;Mutter hat Schokolade in den Schrank getan;hungrig;;;;;;99;99;;;BS;3.0
2613;4;Katze will nicht immer spielen. Katzen schlafen lieber und spielen nicht immer;sehr traurig;;;;;;sehr traurig;traurig;sehr;;E.T.;
2613;5;Schoß von ihrer Mama;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2613;6;Schimmel;traurig, ekelig;;;;;;ekelig;Ekel;;;BS;2.0
2613;7;sie hat Geburtstag ;glücklich, sie freut sich;;;;;;freut sich;Freude;;;BS;2.0
2613;8;es ist peinlich;peinlich, erschrocken;;;;;;peinlich;peinlich;;;BS;2.0
2613;9;Igel;wütend;;;;;;wütend;wütend;;;E.T.;
2613;10;das eine Auto;sehr wütend;;;;;;sehr wütend;wütend;sehr;;E.T.;
5332;1;einen gruseligen Film;er hat Angst;;;;;;Angst;ängstlich;;;E.T.;
5332;2;er lag dann auf der Straße und wurde vom Laster überfahren;er ist traurig;;;;;;traurig;traurig;;;E.T.;
5332;3;die Tafel Schokolade;er möchte unbedingt diese Tafel Schokolade haben;;;gierig;;;gierig;begierig;;;E.T.;
5332;4;sie schläft nur;er hat Angst, dass seine Katze krank ist;;;;;;Angst;ängstlich;;;E.T.;
5332;5;in den Armen seiner Mutter;sicher;;;dass einem nichts passieren kann;;;99;99;;;BS;3.0
5332;6;einen großen Fleck Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
