ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung
2586;6;Schimmel ;traurig, weil sie Kuchen nicht essen kann;;;;;
2586;7;Geburtstag;freut sich;;;;;
2586;8;weil ihre Hose offen ist;fühlt sich nicht schön & peinlich;;;;;
2586;9;Igel;ich weiß nicht;;;;;
2586;10;Spielzeugauto;blöd;;;;;
2613;1;Mit Monstern;ängstlich;;;;;
2613;2;kaputt;sehr traurig;;;;;
2613;3;Mutter hat Schokolade in den Schrank getan;hungrig;;;;;
2613;4;Katze will nicht immer spielen. Katzen schlafen lieber und spielen nicht immer;sehr traurig;;;;;
2613;5;Schoß von ihrer Mama;glücklich;;;;;
2613;6;Schimmel;traurig, ekelig;;;;;
2613;7;sie hat Geburtstag ;glücklich, sie freut sich;;;;;
2613;8;es ist peinlich;peinlich, erschrocken;;;;;
2613;9;Igel;wütend;;;;;
2613;10;das eine Auto;sehr wütend;;;;;
5332;1;einen gruseligen Film;er hat Angst;;;;;
5332;2;er lag dann auf der Straße und wurde vom Laster überfahren;er ist traurig;;;;;
5332;3;die Tafel Schokolade;er möchte unbedingt diese Tafel Schokolade haben;;;gierig;;
5332;4;sie schläft nur;er hat Angst, dass seine Katze krank ist;;;;;
5332;5;in den Armen seiner Mutter;sicher;;;dass einem nichts passieren kann;;
5332;6;einen großen Fleck Schimmel;traurig;;;;;
5332;7;zum Geburtstag;er freut sich über dieses tolle Geschenk;;;;;
5332;8;weil er Angst hat, dass jemand ihn sieht;weiß ich nicht so genau;;;;;
5332;9;den Igel;er ist traurig, dass er ihn nicht fotografieren konnte;;;;;
5332;10;das Bild dass auf der Packung ist;er ärgert sich;;;;;
5876;1;Monsterfilm;traurig oder sie hat Angst;;;;;
5876;2;kaputt;traurig;;;;;
5876;3;Lecker;fröhlich;;;;;
5876;4;krank;weiß nicht;;;;;
5876;5;Mamas Arm;weiß ich nicht;;;;;
5876;6;Kerze;schlecht;;sauer;;;
5876;7;weil Weihnachten ist der Geburtstag;weiß nicht;;;;;
5876;8;weil Hose auf ist;weiß ich nicht;;;;;
5876;9;den Igel;sauer;;;;;
5876;10;den LKW;traurig;;;;;
3435;1;Monsterfilm;ängstlich, Angst;;;;;
3435;2;Auto darüber + kaputt;traurig;;;;;
3435;3;Schokolade;weiß nicht;;;;;
3435;4;wn., krank;traurig;;;;;2x Frage gestellt
3435;5;im Arm;toll;;weil in Mamas Arm;;;
3435;6;Schimmel;traurig;;;;;2x Frage gestellt
3435;7;Geburtstag;toll;;fröhlich;;;
3435;8;Hose offen;weiß nicht;;;;;
3435;9;Igel;traurig;;;;;
3435;10;Spielzeug;nicht gut;;?;;;
1625;1;Gruselfilm;ängstlich;;;;;
1625;2;nicht kaputt gegangen;traurig;;;;;
1625;3;wie die Schokolade reingemacht wird;fröhlich;;;;;
1625;4;einfach nur müde;ängstlich;;;;;
1625;5;im Arm;fröhlich;;;;;
1625;6;Fleck Schimmel ;weiß nicht;;;;;
1625;7;was von Lidl?;fröhlich;;;;;
1625;8;Hose offen;ängstlich;;;;;
1625;9;Igel;wütend;;;;;
1625;10;Legoauto;traurig;;;;;
8816;1;Gruseligen;ängstlich;;;;;
8816;2;kaputt;traurig;;;;;
8816;3;wie Mama Schoko in Schrank legt;froh;;;;;
8816;4;hat keine Lust zum Spielen;traurig;;;;;
8816;5;im Schoß seiner Mutter;froh;;;;;
8816;6;Eine Kerze;? weiß nicht;;;;;
8816;7;zum Geburtstag;froh;;;;;
8816;8;weil er de Kerze anzünden darf;traurig;;;;;
8816;9;Igel;wütend;;;;;
8816;10;sein Legomodell;wütend;;;;;
9444;1;einen gruseligen;ängstlich;;;;;
9444;2;ist kaputt;nicht gut;;traurig;;;
9444;3;wie Mama Schokolade in den Kühlschrank räumt;traurig;;;;;
9444;4;krank;nicht gut;;weiß nicht;;;
9444;5;bei der Mama;wuselig;;sicher;;;
9444;6;Schimmel;traurig;;;;;
9444;7;weil sie Geburtstag hat;fröhlich;;;;;
9444;8;weil sie sich ängstlich fühlt;ängstlich;;;;;
9444;9;Igel;wütend;;;;;
9444;10;das, was auf der Schachtel war;nicht gut;;weiß nicht;;;
5481;1;Gruselfilm;nicht glücklich;;;;;
